,nama,rating,komentar
400,Eli,3,"barang sih ok, sesuai pic, note: pengirimanya lambat.. tlg diperhatikan. tq"
401,Lasron,3,bagus bajunya...exiting
402,husni,3,Tlg lengannya diperbaikin ukuran terlalu besar
403,Erick,3,Bahan tipis..
404,Desi,3,Pesan abu2 datang hijau tua
405,Jujun,3,Untuk kualitas produk bagus .. hanya saja mohon untuk dicek kembali barang sebelum dikirim kak .. karena udah mah saya beli warna putih .. terus kemeja nyampenya agak kot... 
406,husni,3,Lumayan lah
407,Indriani,3,Lumayan tapi ga ada kantongnya
408,T***l,3,"Bajunya ukuran Xl tapi kecil, agak kecewa 😥"
409,Putra,3,warna baju tidak sesuai dengan yang di foto
410,Lasron,3,bagus bajunya...exiting
411,husni,3,Tlg lengannya diperbaikin ukuran terlalu besar
412,Erick,3,Bahan tipis..
413,Desi,3,Pesan abu2 datang hijau tua
414,Jujun,3,Untuk kualitas produk bagus .. hanya saja mohon untuk dicek kembali barang sebelum dikirim kak .. karena udah mah saya beli warna putih .. terus kemeja nyampenya agak kot... 
415,husni,3,Lumayan lah
416,Indriani,3,Lumayan tapi ga ada kantongnya
417,T***l,3,"Bajunya ukuran Xl tapi kecil, agak kecewa 😥"
418,Putra,3,warna baju tidak sesuai dengan yang di foto
419,Andika,2,3x mesan yg warna hitam logo lamat Motz.. pas cht awal barang di bilang ready.. setelah pembayaran di bilang stok kosong via cht wa.. 3x yg mengecewakan 🙏🏻
420,G***r,2,"Kualitas pengerjaan buruk, masih banyak bekas coretan kapur untuk penanda jahitan yang tidak dibersihkan, ukuran aslinya jauh lebih kecil dibanding yang dicantumkan di de... "
421,Agus,2,Kualitas kemeja sebenarnya bagus tapi ukuran tidak sesuai dengan deskripsi. Pesan XL berharap lebar 56cm ternyata yang dikirim benar XL tapi lebarnya hanya 54cm. Artinya... 
422,Andreas,2,"yang dikirim salah motif, harusnya digambar logo bintang tapi yang dateng kok logo merk ckckckc agak kecewa saya"
423,A***i,2,"bahannya kasar,panas"
424,Siswanto,2,"sebenarnya simpel aja, barang yg dkrim berbeda dgn yg difoto & g ada keterangan model akan berbeda dgn foto, klo dr awal ada info beda cerita..."
425,Michael,2,ukuran apa ini besar bangettt
426,Santo,2,"pengiriman cepat, kualitas sangat kurang, jadi sangat kecewa...."
427,Ikhwan,2,order L dikirim M
428,Epri,2,bahan ketipisan sampai menerawang..krg sebanding dgn harga nya.
429,Y***h,2,"Saya kira saya yang udah buta warna ternyata ada yang senasib, pesan warna abu yang di kirim warna hijau tua, padahal di daftar gambar warna hijau tua tidak ada."
430,Riki,2,Bahan y tipis
431,Haryanto,2,
432,E***o,2,
433,Memet,2,
434,Andri,1,WARNA YANG DI KIRIM.TIDAK SESUAI
435,Dobby,1,"prosesnya lama. jahitannya asal asalan panjang sebelah, terpaksa harus bawa ke tukang permak."
436,T***n,1,"Pesen 2 ukuran L, tapi yang putih lebih kecil …., kalau komplain ribet harus mbalikin dulu …"
437,bayu,1,warna cream yang datang beda warna nya dengan yang di foto
438,MASTURO,1,size nya kekecilan semua..
439,Muliadi,1,ukuran tidak sesuai katanya XXL lebar 59 kenyatann cuma 56
440,suparmin,1,Minta ukuran L dtangnya M Blok
441,Hery,1,warna tidak sesuai dengan di gambar
442,Isep,1,Barang sampe lokasi tidak sama dengan yang di pesan . pesan baju apa . yang sampai baju apa . Sangat kecewa dengan toko ini
443,H***n,1,"bahanya tipis banget,ku kira bahanya bagus😔"
444,Lisa,1,bahan tipis...sama kaya kemeja yang 35rb an
445,rixas,1,pesen xxl yg dtg xl
446,Adi,1,tidak sesuai dengan gambar yang ditawarkan
447,Yullys,1,"diminta XXL, yg datang XL, asli kecewa,"
448,muhammad,1,barang yang di jual barang rusak.. jahitan ujung lengan tidak sejajar
449,rudi,1,"warna kemeja yg di pesan tiba2 di beritahukan stoknya sudah habis, selanjutnya saya di suruh memilh warna kemeja lain. pengiriman terlambatnya aja 4 hari baru sampai"
450,Jannes,1,kain tipis mengecewakan...sekali..!
451,D***y,1,dengan seharga segini sehurusnya sudah dapat barang yg bagus...
452,Rianto,1,ukuran lengannya terlalu gede padahal ini size M. jd saya pake terlihat kurus banget padahal aku gk kurus banget sebagai pembanding aku sertakan foto gk pake baju
453,Fika,1,proses lama
454,Yuga,1,lebar pundak tidak serasi dgn lebar baju.
455,Ashiqin,1,Ukuran M atasnya sih pas.. tpi ke bawahnya tambah lebar dan panjang.. bahan tipis bgt..
456,PURNOMO,1,ukuran lengannya terlalu gede padahal ini size M. jd saya pake terlihat kurus banget padahal aku gk kurus banget sebagai pembanding aku sertakan foto gk pake baju
457,Hariyanta,1,proses lama
458,Yuga,1,lebar pundak tidak serasi dgn lebar baju.
459,Ashiqin,1,Ukuran M atasnya sih pas.. tpi ke bawahnya tambah lebar dan panjang.. bahan tipis bgt..
460,PURNOMO,1,
461,Hariyanta,1,
462,Arif,5,Mantap...
463,Hariman,5,recomended
464,Arif,5,Alhamdulillah... Cepat sampainya dan mantap
465,R***l,5,mantap
466,Abdurochman,5,terima kasih sudah megirimkan pesanan sesuai jadwal & telah diterima dengan baik.
467,Kresna,5,Barang diterima dalam kondisi baik dan sesuai pesanan
468,h***n,5,"paket sudah diterima, bahannya bagus cuma lengan bajunya agak sempit padahal ukuran XL."
469,Syahrul,5,mantul
470,R***t,5,bahan lumayan bagus adem..cuma request warna gak sesuai foto..yg satunya mmg diganti tetapi yg black diamond ternyata warnanya ada ungunya bukan hitam semua
471,Diana,5,Bagus
472,F***q,5,"barang bagus, jos"
473,Bane,5,Batiknya bagus
474,ZUL,5,"model keren, ukuran pas, bahan bagus"
475,Sarozi,5,mantap pas sesuai gambar
476,siti,5,sesuai gambar
477,sam,5,mantap
478,Kasih,5,sudah beli 3 kali Alhamdulillah.. ok ngga ada masalah.. semoga awet
479,RASIMAN,5,mantap terima kasih
480,Ahmad,5,lumayan buat lebaran
481,Yudi,5,sesuai harapan
482,Romli,5,bagus.. joss lah
483,alex,5,Modelnya pas di badan dan bahan stretch.....kerrennnn
484,Drafter,5,bagus
485,Richard,5,TOP BGT
486,tommy,5,bagus. puas. saya mau pesan lagi
487,Andik,5,barang bagus
488,Yudi,5,"Bahannya bagus, adem dan terasa melar. Foto dan aslinya sesuai ekspektasi. Batiknya kereen ditambah lagi dong motifnya."
489,S***u,5,recommended mantap bgt dah 👍🏿👍🏿👍🏿
490,Shovian,5,sip
491,Muhammad,5,puas dngan brang dan kualitas'y sngat cocok dan bagusss 👍👍👍👍♥️♥️♥️♥️
492,Arie,5,Mantap 👍
493,susilo,5,"paket sudah sampai,mantappp"
494,MOCH,5,oke barangnya bagus sesuai deskripsi
495,Muslim,5,"ukuran pas,barang bagus"
496,supriyatna,5,"barang jahitan rapi,saiz sesuai & puas banget"
497,gatot,5,bajunya bagus + ukuran sesuai
498,saelan,5,good
499,Garvin,5,Mantapppp..... Pembelian ke 2
500,A***s,5,👍🏻👍🏻
501,Aben,5,ok banget pengirimannya juga cepat👍
502,F***l,5,keren
503,wahyudi,5,Mantappp.... cucok boooo....
504,funny,5,"mksh seller,baju songket Nya bagus, bahannya adem dan melar,semoga makin sukses tokonya dan amanah mksh untuk kurir Nya ramah mksh utk toped,semakin jaya selalu dan terpe... "
505,Aben,5,Mantap
506,Ahmad,5,good
507,a***p,5,"modelnya keren, bahannya nyaman, jempol pokoknya"
508,Muhammad,5,bagus
509,R***y,5,mantap
510,f***o,5,
511,M***M,5,
512,Puji,4,XL diukur tidak sesuai dengan selisi yg di deskripsi
513,Bambang,4,"dipake pas sesuai ukuran,, tp kainnya bukan songket sesuai judul,, tp ya sesuai hargalah"
514,Bajoz,4,masih ada benang bekas jaitan yg menumpuk jadi kurang rapi dan di bagian pergelangan tangan harusnya ada 2 kancing biar bisa menyesuaikan pada lingkaran pergelangan tanga... 
515,Jihad,4,jaitan di bagian ketiak kurang kuat byk benang sisa stiap jaitan. utk bahas sih oke
516,Nurdin,4,pengiriman cepat.
517,H***s,4,Teenyata baju nya luntur.sma ada jahitan yg kurang rapi.tp ga pp s buat harga segitu.trmksh
518,halim,4,bagus ta.pa lecet.. kain agak tipiss
519,abdi,4,bagus tapi kecil ya gak ada yang lebih besar lagikah
520,AGUS,4,mantap banget sesuai dengan orderan 👍👍
521,Andri,4,"Bahan dan modelnya keren, cuma pas dipake agak kekecilan padahal ukuran XL ya"
522,Mohamad,4,barang sesuai pesanan
523,T***o,4,Overall kualitas sesuai dng harga 95K. Cuma tipe kainnya sedikit gerah jika dipakai di cuaca panas.
524,Fauzy,4,Ukuran nya kekecilan hahah tapi bagus bahannya. For sure I will buy again soon! Thanks
525,k***a,4,bener bener bagus bahannya cuma mungkin ada warna ungu yang masih lumayan strong. cuma karena mungkin pas ngedesain bajunya nggak pake monitor srgb 100% jadinya warnanya... 
526,Agung,4,bahan nya adem
527,Suyitno,4,good
528,Rivan,4,"Mantap, mendarat mulus, kualitas bahan bagus, tapi gak sesuai sama pesanan"
529,AGUS,4,terimakasih mantap
530,Agung,4,Riject motif luntur
531,fahry,4,"bagus, kurang fit aja di bb 56 tb 171"
532,h***m,4,bagus
533,suhendrik,4,lumayan....
534,Ramces,4,ukurannya L kekecilan...
535,Arifin,4,ok makasih barang sudah sampai sesuai pesanan 🙏🙏🙏
536,Ahmad,4,bahan sesuai harga size cocok pengiriman agak lambat
537,Abo,4,"Bagus, cuman ukuran L harusnya panjangnya 72 ini kelebihan jadi 74 jadi rasa XL untuk, variasi batik hitam"
538,Rio,4,Batiknya keren. Kainnya adem. sayangnya kekecilan
539,Muhammad,4,bagus cuma sayang sedikit kekecilan utk saya.
540,Adnan,4,pokoknya barangnya ok pengen belanja lgi
541,Fathor,4,Barang sudah sampai thanks
542,Fajar,4,Kainnya adem. Nyaman dipakai 👍. Packaging aman 🙏.
543,d***s,4,Batiknya keren.
544,n***o,4,.kemasan udah bolong dulu an
545,Samsul,4,"Ukuran XL dan L atak beda jauh cenderung sama,,sayang nya motif yg di inginin gak ada"
546,Lukman,4,Kainnya adem. Batiknya keren. Nyaman dipakai Tapi Salah Beli Ukuran Harusnya Ukuran M Malah Beli Ukuran L
547,Daniel,4,Nyaman dipakai 👍.
548,azis,4,Batiknya keren
549,Joni,4,Motif batiknya ciamik.
550,Pangiutan,4,barangnya sesuai dengan yg saya mau👍
551,andipoetra,4,Kainnya adem.
552,Ahmad,4,Batiknya keren.
553,Edo,4,Motif batiknya ciamik.
554,Wowo,4,bagus
555,R***s,4,"Barang sesuai pesanan, Batiknya keren. Motif batiknya ciamik. Kainnya adem. Pas ukurannya. Nyaman dipakai 👍"
556,a***n,4,furingnya kemana ya? untung bahan luarnya enak 😅
557,Dinarni,4,"Bahan mantap, kualitas oke, ukuran pas pokoknya sesuai ekspektasi. kalo tambahin ukuran big size min! overall oke sih."
558,Anwar,4,ok
559,Darmin,4,mntp
560,Rony,4,"sebenernya barangnya bagus, sayang sekali ada cacat bahan, jdnya kurang sempurna"
561,Rony,4,
562,Tri,3,jaitan kancing kurang kuat. gampang copot
563,Z,3,"black diamond warna pink nya lebih menonjol dan ada warna broken white kelihatannya jadi smkn butek , jelek"
564,Moh,3,barang bagus cuma sampai nya moloorrrr
565,n***l,3,"kurir terlalu lama, kurangnya koordinasi penjual sama jasa pengiriman. dari segi barang belum tau kualitasnya, di review dulu 3 bulan kalau tidak ada kendala apapun bisa... "
566,Deva,3,respon penjual kurang tegas. untuk barang baik.
567,s***a,3,"Barang sih bagus, cuma estimasi gak sesuai dengan yg tertera di aplikasi."
568,B***a,3,👊
569,zamzami,3,terimakasih. barang nya sudah di terima.
570,M***d,3,warna tidak sesuai deskripsi
571,Syahril,3,gak ada kantong depan
572,yanto,3,pengirimanya lama
573,D***i,3,Proses pesanan cepat.
574,Nurul,3,Pas ukurannya.
575,A***y,3,Batiknya keren.
576,n***r,3,"bagus sih, cuman saya kira bahannya kain batik pada umumnya sekalinya beda"
577,A***s,3,Pas ukurannya. Motif batiknya ciamik.
578,Tri,3,Tidak sesuai gambar
579,abdurrohman,3,kancingnya terlalu kecil
580,Rahmat,3,barang bagus cepat namun warga agak sedikit kurang gelap dari aslinya
581,F***s,3,kurang puas
582,Ari,3,"Kelebihan : Bahan kain bagus bisa melar Kekurangan : ukuran XL lengan terlalu sempit kayak M, padahal tangan saya gak besar2 amat, trus pengemasan cuma di masukin plastik... "
583,Abdul,3,"ngirimnya lama, padahal udah ga pake gratis ongkir!"
584,mytha,3,"bajunya bagus, hanya saja pengirimannya lama perlu waktu 2 hari untuk di proses pengiriman, plus 5-6 hari pengiriman dari kurirnya total estimasi 8 hari untuk nyampe di t... "
585,Ahmad,3,respon lambat
586,Z***l,3,"Bahan panas, krg nyaman, utk yg badannya kurus ga cocok, pengiriman juga tidak segera"
587,Suli,3,katanya dasarnya dingin ...tak tauh nya panas...
588,Saccaputta,3,bahan bagus penjualnya baik....cuma ini sih bener2 kecil😔 cuma bisa di pakai anak saya yg berat 45kg..bukan buat pphnya..selalu gini jika beli baju di online...pdhal bua... 
589,Samuri,3,kualitas lumayan sih tapi banyak benang yg pada ntlolor jadi g bintang 5 deh
590,Ajat,3,Untuk ukuran Lingkar dada dan Lingkar pundak naikin 2cm dr yg skrng(sekedar saran)
591,A***l,3,tidak sesuai corak dan warna saat memesan
592,o***m,3,lubang kancingnya tidak rapi
593,A***d,3,"brang..lmyan lh sesuai hrga,tpi gk tau bhn apa,packing..rapih mskpn sdrhna..respon lmyan."
594,Filu,3,ya lumayan lah....
595,D***i,3,Tidak sesuai pesanan walau barang nya bagus
596,A***I,3,"proses nya lamaaa ,. barang sih ok"
597,R***y,3,"kualitas barang sudah bagus, tapi pengiriman agak lama, order rabu pagi, kamis siang baru di kirim."
598,Sindu,3,Batiknya ternyata strait. Warnanya rada pudar but oke lah dipake casual Thanks bossku
599,Muhferdiansyah,3,"Barang cacat, ada yang robek , bahan nya sih bagus , lain kali cek dulu min sebelum kirim ,kalo udh gini kan customer kecewa ga percaya lagi sama toko ini. Makasih"
600,Nury,3,dari pihak penjual sdh bagus cuman untuk dari jasa pengirimannya sangat lambat
601,A***y,3,"Brang udh smpe, pngiriman cpet resfon baik, caman kegedean doang haha kirain uk L kecil, tpi gpp bisa d jait lg"
602,Andry,3,Ga cocok dgn gambar........
603,Agung,3,"Pesanan sesuai yg di ingin kan,,mantullll"
604,Fachrul,3,"Pengiriman cepat, warna gak sesuai... Trus ukuran l tapi kekecilan"
605,Jay,3,
606,Syaiful,2,"Saya gak ada masalah sama barang pesanan. Karena di pengajuan complaint, tidak ada pilihan waktu, jadi saya ke menu Ini. Saya mau complaint bukan di barang. Tetapi lebih... "
607,Shopper,2,"Barang Ok, nmun btuh pengajuan komplain alias datang nya 9 hari"
608,L***d,2,lengan nya sangat sempit. ukuran tangan anak kecil.
609,r***y,2,Kualitas Barang ⭐️⭐️⭐️⭐️ Kualitas Pelayan & Komunikasi ⭐️⭐️
610,A***a,2,ukuran L sarasa ukuran S
611,Abdul,2,bahannya melar ......😭
612,A***s,2,jahitan kurang rapi
613,A***i,2,ukuran lebih jelas ya
614,w***e,2,"ukuran beda dari deskripsi , sangat sempit sekali walaupun sudah XL"
615,iwawan,2,"Kemejanya sih gak ngecewain.cuma kemarin ada kesalah fahaman di pengirimanya.besok besok lg kalo order dilihat dulu invoice nya pakai kurir apa,heheheh.🤗"
616,S***d,2,Lain kali kalau barang kosong dibilang dari awal jangan uda di tf uangnya baru dibilang
617,Mando,2,
618,Chris,2,
619,I***m,2,
620,M,2,
621,Donnie,1,di gambar dan judul dan deskripsi hitam tapi yang datang coklat
622,A***f,1,motif nya gak sejajar
623,Melfa,1,"kemejanya kurang bagus,kebesaran,penjualnya tidak ramah"
624,Hein,1,"ukuran nya kecil untuk ukuran baju🙏🙏 normal biasa pake L, seperti ukuran S dan ga bisa dituker"
625,Muhammad,1,orang salah motif mau ajukan pembelian ulang mlah ditolak
626,Rudi,1,Barang tidak sampai ke customer
627,n***a,1,tidak sesuai dengan foto
628,SFX,1,"PROSES PENGIRIMAN LAMBAT, TOKO TIDAK RESPONSIF."
629,S***h,1,"KECEWA. HATI-HATI BELANJA DISINI Ditulis stock masih ada 900 pcs, saya order 1 pcs katanya stock kosong dan dipaksa ganti model lain yg saya sama sekali tidak suka"
630,Roy,1,Beda sama di foto
631,a***i,1,"pesen warna apa dateng warna apa, buat pdagang asal kirim barang cocoknya Bintang 1.. klw BB 90kg kecil ukuran XL gak real 54 dadanya..."
632,F***e,1,"pake grab kirim hari selanjutnya bilang bisa, tapi dikirim 2 hari kemudian"
633,I***N,1,warna nggak sesuai pesenan. respon lambat.... pelanyanan kurang baik
634,Hermansyah,1,pelayanan nya sangat luar biasa baru kali ini nanya pesanan mau di kirim kapan di amuk sama seler
635,r***o,1,jangan belanja disini penipuan beli dua yang dateng cuma satu bahkan tidak ada ganti barang
636,Ahmad,1,pelayanan toko sangat jelek
637,m***e,1,"motif kemeja tidak sesuai dengan yg di pesan. saya ga mau ribet untuk retur barang, cukup tau saja kalau tokonya tidak amanah."
638,L***i,1,pesanan saya tidak sesuai deskripsi
639,Y***a,1,KECEWA..!!!
640,Y***i,1,"Ga sesuai deskripsi. dibagian lengan sempit banget, slimfit dan ternyata ini bukan 52cm lebar badannya, tapi 47cm!"
641,N***n,1,Ukuran trlalu kecil beda sama ukuran biasanya dan gabisa return
642,Dian,1,
643,M***d,1,
644,Rudi,1,
